feature1,feature2,feature3,feature4,feature5,feature6,feature7,class_label
0.7140127995760892,0.4348409586434856,1.0,0.6401279957608923,0.4791718409326037,0.7219104029673753,0.6886617645782362,imL
0.7353115077929357,0.5029968249373946,1.0,0.853115077929358,0.43231468285554125,0.5728194454494493,0.45863571583629326,imL
0.7110777905901742,0.42544892988855754,1.0,0.6107779059017423,0.4856288607016167,0.7424554658687803,0.7203598616261183,imL
0.7476291494714356,0.542413278308594,1.0,0.9762914947143562,0.4052158711628417,0.4865959536999507,0.3256051857084953,imL
0.7189372871202605,0.45059931878483384,1.0,0.6893728712026056,0.4683379683354268,0.6874389901581761,0.6354772991011859,imL
0.7058763568151635,0.40880434180852315,1.0,0.5587635681516349,0.49707201500664033,0.7788655022938555,0.7765353463962343,imL
0.737821203994476,0.5110278527823235,1.0,0.8782120399447609,0.4267933512121526,0.5552515720386673,0.4315309968596581,imL
0.7467415708881933,0.5395730268422183,1.0,0.9674157088819322,0.4071685440459749,0.49280900378264747,0.3351910344075132,imL
0.7278912284317186,0.4792519309814998,1.0,0.7789122843171867,0.4486392974502189,0.6247614009779692,0.5387747329374382,imL
0.7039720759217947,0.402710642949743,1.0,0.5397207592179469,0.5012614329720517,0.792195468547437,0.7971015800446173,imL
0.7091306364199423,0.41921803654381556,1.0,0.5913063641994235,0.48991259987612684,0.7560855450604035,0.7413891266646225,imL
0.7426963018278351,0.5266281658490723,1.0,0.926963018278351,0.4160681359787628,0.5211258872051542,0.3788799402593808,imL
0.7106342615019562,0.42402963680625994,1.0,0.6063426150195623,0.4866046246956963,0.7455601694863063,0.7251499757788726,imL
0.7313551380497579,0.4903364417592256,1.0,0.8135513804975798,0.4410186962905325,0.6005140336516941,0.5013645090626138,imL
0.742849978996237,0.5271199327879584,1.0,0.9284997899623701,0.4157300462082786,0.5200501470263409,0.37722022684064027,imL
0.7056205690184849,0.40798582085915186,1.0,0.5562056901848496,0.4976347481593331,0.7806560168706054,0.7792978546003626,imL
0.7180760362791785,0.4478433160933714,1.0,0.6807603627917855,0.4702327201858072,0.69346774604575,0.6447788081848715,imL
0.7065196495206206,0.41086287846598624,1.0,0.565196495206207,0.49565677105463446,0.7743624533556551,0.7695877851772965,imL
0.7328765262109499,0.49520488387503964,1.0,0.8287652621094987,0.43767164233591027,0.5898643165233508,0.48493351692174136,imL
0.7247033433061912,0.4690506985798119,1.0,0.7470334330619122,0.45565264472637934,0.6470765968566614,0.5732038922931348,imL
0.7452178496497385,0.5346971188791632,1.0,0.9521784964973847,0.4105207307705754,0.5034750524518307,0.3516472237828245,imL
0.7372828593970839,0.5093051500706686,1.0,0.872828593970839,0.42797770932641543,0.5590199842204127,0.4373451185114939,imL
0.7479702958173621,0.5435049466155587,1.0,0.979702958173621,0.40446534920180344,0.48420792927846534,0.3219208051724894,imL
0.7127484821692811,0.4307951429416996,1.0,0.6274848216928113,0.48195333922758155,0.730760624815032,0.7023163925717638,imL
0.7378952563478042,0.5112648203129734,1.0,0.8789525634780417,0.42663043603483086,0.5547332055653708,0.43073123144371495,imL
0.7065042661920763,0.4108136518146443,1.0,0.5650426619207634,0.49569061437743206,0.7744701366554656,0.7697539251255756,imL
0.7222932302649097,0.4613383368477112,1.0,0.7229323026490974,0.4609548934171986,0.6639473881456318,0.5992331131389749,imL
0.738745139515575,0.5139844464498399,1.0,0.8874513951557496,0.4247606930657351,0.5487840233909753,0.42155249323179045,imL
0.70244097042743,0.3978111053677762,1.0,0.5244097042743004,0.5046298650596539,0.8029132070079896,0.8136375193837555,imL
0.7409884920397841,0.5211631745273091,1.0,0.9098849203978407,0.41982531751247504,0.5330805557215115,0.397324285970332,imL
0.7065894896291245,0.4110863668131985,1.0,0.5658948962912452,0.49550312281592607,0.7738735725961283,0.7688335120054552,imL
0.713514463862182,0.43324628435898227,1.0,0.6351446386218196,0.4802681795031997,0.7253987529647263,0.6940437902884349,imL
0.7214135405553018,0.4585233297769659,1.0,0.7141354055530185,0.462890210778336,0.6701052161128871,0.6087337620027402,imL
0.7092595379404766,0.41963052140952506,1.0,0.5925953794047657,0.4896290165309516,0.755183234416664,0.739996990242853,imL
0.7181947157992328,0.44822309055754506,1.0,0.6819471579923282,0.4699716252416878,0.6926369894053702,0.6434970693682855,imL
0.7445742676744587,0.5326376565582678,1.0,0.9457426767445867,0.41193661111619095,0.5079801262787893,0.3585979091158463,imL
0.712866167480989,0.4311717359391647,1.0,0.6286616748098895,0.48169443154182434,0.7299368276330773,0.7010453912053193,imL
0.7318941234654892,0.49206119508956536,1.0,0.8189412346548917,0.43983292837592386,0.5967411357415757,0.495543466572717,imL
0.7271235511554598,0.47679536369747155,1.0,0.7712355115545986,0.4503281874579883,0.630135141911781,0.5470656475210336,imL
0.7248004081709644,0.469361306147086,1.0,0.7480040817096436,0.45543910202387844,0.6463971428032494,0.572155591753585,imL
0.7198987917734397,0.45367613367500736,1.0,0.6989879177343981,0.46622265809843244,0.6807084575859214,0.6250930488468502,imL
0.7315469543271512,0.4909502538468841,1.0,0.8154695432715129,0.4405967004802672,0.599171319709941,0.4992928932667662,imL
0.7389909573804629,0.5147710636174814,1.0,0.8899095738046292,0.4242198937629816,0.5470632983367596,0.4188976602910005,imL
0.7065993179449784,0.41111781742393116,1.0,0.565993179449785,0.49548150052104734,0.7738047743851505,0.7687273661942322,imL
0.7159044464581451,0.4408942286660645,1.0,0.6590444645814515,0.4750102177920807,0.7086688747929839,0.6682319782520325,imL
0.7368567633919345,0.5079416428541906,1.0,0.8685676339193457,0.428915120537744,0.562002656256458,0.4419469553671067,imL
0.7256986152844814,0.4722355689103406,1.0,0.7569861528448142,0.4534630463741409,0.6401096930086301,0.5624549549276007,imL
0.7152996387738573,0.4389588440763432,1.0,0.6529963877385726,0.47634079469751406,0.7129025285829991,0.6747639012423416,imL
0.7230966386076677,0.4639092435445367,1.0,0.7309663860766772,0.45918739506313105,0.6583235297463259,0.5905563030371886,imL
0.7334740011447659,0.4971168036632511,1.0,0.8347400114476595,0.4363571974815149,0.5856819919866383,0.4784807876365277,imL
0.7155424783093645,0.4397359305899663,1.0,0.6554247830936446,0.4758065477193982,0.7112026518344488,0.6721412342588637,imL
0.7348415879115697,0.5014930813170232,1.0,0.8484158791156973,0.4333485065945466,0.5761088846190119,0.463710850555047,imL
0.7284722679589294,0.48111125746857414,1.0,0.7847226795892941,0.4473610104903553,0.620694124287494,0.5324995060435623,imL
0.7175930031450986,0.44629761006431556,1.0,0.675930031450986,0.4712953930807831,0.6968489779843098,0.6499955660329351,imL
0.7102224150184928,0.4227117280591771,1.0,0.6022241501849284,0.48751068695931576,0.7484430948705502,0.7295979178002774,imL
0.7205873597485708,0.45587955119542667,1.0,0.7058735974857082,0.4647078085531442,0.6758884817600043,0.6176565147154351,imL
0.7040728518443647,0.40303312590196727,1.0,0.5407285184436477,0.5010397259423975,0.7914900370894465,0.7960132000808604,imL
0.7019768678918759,0.39632597725400276,1.0,0.5197686789187586,0.5056508906378732,0.806161924756869,0.8186498267677407,imL
0.7124262111998635,0.4297638758395634,1.0,0.6242621119986356,0.48266233536030023,0.7330165216009551,0.7057969190414737,imL
0.7147771965073801,0.4372870288236166,1.0,0.6477719650738019,0.4774901676837636,0.7165596244483388,0.680406277720294,imL
0.7264420494061363,0.47461455809963626,1.0,0.7644204940613633,0.45182749130650013,0.6349056541570457,0.5544258664137278,imL
0.726349062482153,0.47431699994288995,1.0,0.763490624821531,0.4520320625392632,0.6355565626249282,0.5554301251927465,imL
0.7287382006149772,0.48196224196792703,1.0,0.7873820061497718,0.4467759586470502,0.6188325956951597,0.5296274333582464,imL
0.7119815070050204,0.4283408224160653,1.0,0.619815070050204,0.48364068458895515,0.7361294509648572,0.7105997243457798,imL
0.7009624306319744,0.3930797780223181,1.0,0.5096243063197439,0.5078826526096564,0.8132629855761793,0.8296057491746767,imL
0.7042029822686279,0.40344954325960924,1.0,0.5420298226862789,0.5007534390090187,0.7905791241196047,0.7946077914988188,imL
0.7240944351518345,0.46710219248587037,1.0,0.7409443515183447,0.45699224266596417,0.6513389539371586,0.5797801003601877,imL
0.7448789354159664,0.5336125933310927,1.0,0.9487893541596644,0.41126634208487384,0.5058474520882349,0.3553074975075624,imL
0.7460065398440872,0.5372209275010789,1.0,0.9600653984408714,0.4087856123430083,0.49795422109139,0.3431293696838589,imL
0.72478148521266,0.4693007526805121,1.0,0.7478148521266001,0.455480732532148,0.6465296035113798,0.5723599597032718,imL
0.72192177834369,0.46014969069980816,1.0,0.7192177834369005,0.46177208764388195,0.6665475515941697,0.6032447938881476,imL
0.746100926230589,0.5375229639378848,1.0,0.9610092623058899,0.40857796229270427,0.49729351638587704,0.34210999670963893,imL
0.7441966164896099,0.5314291727667516,1.0,0.9419661648960986,0.41276744372285834,0.510623684572731,0.36267654191221355,imL
0.7498448683724923,0.5495035787919754,1.0,0.9984486837249229,0.40034128958051696,0.47108592139255395,0.30167542157708327,imL
0.7365695945507434,0.507022702562379,1.0,0.8656959455074345,0.42954689198836443,0.5640128381447959,0.44504837885197074,imL
0.7384103103531113,0.5129129931299563,1.0,0.8841031035311133,0.4254973172231551,0.5511278275282206,0.4251686481863976,imL
0.7183452989688429,0.4487049567002976,1.0,0.6834529896884299,0.46964034226854545,0.691582907218099,0.6418707711364957,imL
0.7343337305901481,0.4998679378884739,1.0,0.8433373059014808,0.43446579270167424,0.5796638858689633,0.4691957096264007,imL
0.7020792039726469,0.39665345271247004,1.0,0.5207920397264689,0.5054257512601769,0.8054455721914717,0.8175445970954136,imL
0.7134931220545577,0.433177990574585,1.0,0.634931220545578,0.48031513147997285,0.7255481456180953,0.6942742818107757,imL
0.7296790826265369,0.48497306440491816,1.0,0.7967908262653691,0.4447060182216188,0.6122464216142416,0.5194659076334013,imL
0.7923782965075556,0.5195233266377374,0.48,0.5,0.5326191683405657,0.5828600401735757,0.46524340698488875,imS
0.8290989973447498,0.5261998176990454,0.48,0.5,0.5309500455752386,0.5428010938057275,0.39180200531050025,imS
0.7918314797127326,0.5194239054023151,0.48,0.5,0.5326440236494213,0.5834565675861099,0.4663370405745346,imS
0.8401618539803926,0.5282112461782532,0.48,0.5,0.5304471884554367,0.5307325229304808,0.3696762920392147,imS
0.7478377176432298,0.5114250395714963,0.48,0.5,0.5346437401071259,0.631449762571022,0.5543245647135403,imS
0.6821132473812949,0.49947513588750814,0.48,0.5,0.537631216028123,0.7031491846749511,0.6857735052374103,imS
0.6680241212300513,0.4969134765872821,0.48,0.5,0.5382716308531795,0.7185191404763076,0.7139517575398975,imS
0.7390268281752291,0.5098230596682235,0.48,0.5,0.5350442350829442,0.6410616419906592,0.5719463436495418,imS
0.7334187276779438,0.5088034050323534,0.48,0.5,0.5352991487419116,0.6471795698058794,0.5831625446441123,imS
0.6433990959025785,0.49243619925501425,0.48,0.5,0.5393909501862465,0.7453828044699145,0.7632018081948431,imS
0.8484837302786683,0.5297243145961216,0.48,0.5,0.5300689213509696,0.521654112423271,0.35303253944266333,imS
0.749995003143158,0.511817273298756,0.48,0.5,0.534545681675311,0.629096360207464,0.550009993713684,imS
0.7359729243980172,0.5092678044360032,0.48,0.5,0.5351830488909992,0.6443931733839813,0.5780541512039656,imS
0.7600620551004311,0.5136476463818965,0.48,0.5,0.5340880884045259,0.6181141217086206,0.5298758897991378,imS
0.6397603544621537,0.4917746099022098,0.48,0.5,0.5395563475244476,0.7493523405867414,0.7704792910756926,imS
0.7673543213793661,0.5149735129780666,0.48,0.5,0.5337566217554834,0.6101589221316006,0.5152913572412677,imS
0.6652376180245414,0.4964068396408257,0.48,0.5,0.5383982900897936,0.7215589621550458,0.7195247639509174,imS
0.6664716959726569,0.49663121744957395,0.48,0.5,0.5383421956376065,0.7202126953025562,0.7170566080546863,imS
0.7677880032799991,0.5150523642327272,0.48,0.5,0.5337369089418182,0.6096858146036374,0.5144239934400018,imS
0.8235987840210443,0.5251997789129171,0.48,0.5,0.5312000552717707,0.5488013265224972,0.40280243195791154,imS
0.696149521811085,0.5020271857838337,0.48,0.5,0.5369932035540417,0.6878368852969982,0.65770095637783,imS
0.6572365313522195,0.49495209660949446,0.48,0.5,0.5387619758476264,0.7302874203430333,0.7355269372955611,imS
0.6856334591517171,0.5001151743912213,0.48,0.5,0.5374712064021947,0.6993089536526722,0.6787330816965658,imS
0.6544881935182453,0.49445239882149916,0.48,0.5,0.5388869002946253,0.7332856070710051,0.7410236129635094,imS
0.6741406739794816,0.4980255770871785,0.48,0.5,0.5379936057282054,0.7118465374769292,0.7017186520410368,imS
0.7363003653192493,0.5093273391489544,0.48,0.5,0.5351681652127614,0.6440359651062736,0.5773992693615015,imS
0.7733863466465462,0.5160702448448266,0.48,0.5,0.5334824387887934,0.6035785309310406,0.5032273067069077,imS
0.808435716403441,0.5224428575278984,0.48,0.5,0.5318892856180254,0.5653428548326097,0.4331285671931179,imS
0.6566851526053141,0.49485184592823894,0.48,0.5,0.5387870385179403,0.7308889244305665,0.7366296947893718,imS
0.8158926213964237,0.5237986584357134,0.48,0.5,0.5315503353910717,0.5572080493857197,0.4182147572071526,imS
0.7419464106451044,0.5103538928445644,0.48,0.5,0.5349115267888589,0.6378766429326135,0.5661071787097913,imS
0.8159155754934719,0.523802831907904,0.48,0.5,0.531549292023024,0.5571830085525761,0.418168849013056,imS
0.630933815385574,0.49016978461555893,0.48,0.5,0.5399575538461103,0.7589812923066466,0.788132369228852,imS
0.809454120483721,0.5226280219061311,0.48,0.5,0.5318429945234673,0.5642318685632134,0.43109175903255786,imS
0.764958056963113,0.5145378285387479,0.48,0.5,0.5338655428653131,0.612773028767513,0.520083886073774,imS
0.7331354666442887,0.5087519030262343,0.48,0.5,0.5353120242434415,0.6474885818425941,0.5837290667114226,imS
0.6850878314301151,0.50001596935093,0.48,0.5,0.5374960076622676,0.69990418389442,0.6798243371397699,imS
0.6466277263241301,0.49302322296802364,0.48,0.5,0.5392441942579941,0.7418606621918581,0.7567445473517398,imS
0.6386374537715314,0.49157044614027845,0.48,0.5,0.5396073884649304,0.7505773231583294,0.7727250924569371,imS
0.7658850152904588,0.5147063664164471,0.48,0.5,0.5338234083958883,0.6117618015013178,0.5182299694190824,imS
0.6735674117134144,0.49792134758425716,0.48,0.5,0.5380196631039358,0.7124719144944571,0.7028651765731713,imS
0.8462141444391758,0.5293116626253047,0.48,0.5,0.5301720843436738,0.5241300242481719,0.3575717111216484,imS
0.7560611291457956,0.5129202052992355,0.48,0.5,0.5342699486751912,0.6224787682045867,0.5378777417084089,imS
0.7142372329147983,0.5053158605299634,0.48,0.5,0.5361710348675092,0.6681048368202199,0.6215255341704032,imS
0.6477060037578741,0.4932192734105226,0.48,0.5,0.5391951816473693,0.7406843595368646,0.7545879924842518,imS
0.8348004800146557,0.5272364509117556,0.48,0.5,0.5306908872720612,0.5365812945294666,0.38039903997068863,imS
0.7224726901597373,0.5068132163926795,0.48,0.5,0.5357966959018301,0.659120701643923,0.6050546196805254,imS
0.6776883845662673,0.49867061537568497,0.48,0.5,0.5378323461560788,0.7079763077458902,0.6946232308674654,imS
0.8144878143521502,0.5235432389731183,0.48,0.5,0.5316141902567205,0.5587405661612906,0.4210243712956994,imS
0.6795863585249678,0.49901570154999414,0.48,0.5,0.5377460746125015,0.7059057907000351,0.6908272829500643,imS
0.6900501653797445,0.5009182118872263,0.48,0.5,0.5372704470281935,0.6944907286766424,0.669899669240511,imS
0.7791441479671443,0.517117117812208,0.48,0.5,0.533220720546948,0.5972972931267517,0.4917117040657115,imS
0.8482226312256974,0.5296768420410359,0.48,0.5,0.530080789489741,0.5219389477537846,0.35355473754860506,imS
0.7515491732989442,0.5120998496907171,0.48,0.5,0.5344750375773207,0.6274009018556973,0.5469016534021116,imS
0.7722558308198672,0.5158646965127032,0.48,0.5,0.5335338258718243,0.6048118209237813,0.5054883383602657,imS
0.6692825034507067,0.497142273354674,0.48,0.5,0.5382144316613315,0.7171463598719563,0.7114349930985866,imS
0.6609066675201938,0.49561939409458067,0.48,0.5,0.5385951514763548,0.7262836354325158,0.7281866649596124,imS
0.7386828295229332,0.5097605144587152,0.48,0.5,0.5350598713853213,0.6414369132477092,0.5726343409541337,imS
0.8291208936713939,0.5262037988493443,0.48,0.5,0.5309490502876639,0.542777206903934,0.3917582126572123,imS
0.6324897815619128,0.4904526875567114,0.48,0.5,0.5398868281108222,0.7572838746597315,0.7850204368761744,imS
0.7375288931680812,0.509550707848742,0.48,0.5,0.5351123230378145,0.6426957529075478,0.5749422136638376,imS
0.8004200240320736,0.5209854589149225,0.48,0.5,0.5322536352712695,0.5740872465104652,0.44915995193585273,imS
0.801789074988549,0.5212343772706453,0.48,0.5,0.5321914056823387,0.5725937363761283,0.4464218500229019,imS
0.6412262818505412,0.49204114215464384,0.48,0.5,0.5394897144613391,0.7477531470721369,0.7675474362989176,imS
0.6750956610835359,0.49819921110609744,0.48,0.5,0.5379501972234757,0.7108047333634154,0.6998086778329282,imS
0.7202623218218575,0.5064113312403378,0.48,0.5,0.5358971671899156,0.6615320125579737,0.6094753563562851,imS
0.732598225301087,0.5086542227820158,0.48,0.5,0.5353364443044961,0.6480746633079051,0.584803549397826,imS
0.8191772769348089,0.5243958685336017,0.48,0.5,0.5314010328665997,0.5536247887983903,0.41164544613038206,imS
0.6820884737212963,0.4994706315856902,0.48,0.5,0.5376323421035775,0.7031762104858585,0.6858230525574074,imS
0.704210715275575,0.5034928573228318,0.48,0.5,0.5366267856692921,0.6790428560630091,0.6415785694488501,imS
0.639585888466516,0.4917428888120938,0.48,0.5,0.5395642777969766,0.7495426671274371,0.7708282230669682,imS
0.7428637111247863,0.5105206747499612,0.48,0.5,0.5348698313125098,0.6368759515002331,0.5642725777504274,imS
0.8494636390361361,0.529902479824752,0.48,0.5,0.530024380043812,0.5205851210514878,0.35107272192772765,imS
0.7317891654850386,0.5085071209972798,0.48,0.5,0.5353732197506801,0.6489572740163215,0.5864216690299227,imS
0.6906869573774755,0.5010339922504501,0.48,0.5,0.5372415019373875,0.6937960464972994,0.668626085245049,imS
0.642834439638828,0.4923335344797869,0.48,0.5,0.5394166163800533,0.7459987931212785,0.7643311207223439,imS
0.8135514339749058,0.5233729879954374,0.48,0.5,0.5316567530011407,0.5597620720273755,0.42289713205018825,imS
0.8398559752061459,0.5281556318556629,0.48,0.5,0.5304610920360843,0.5310662088660227,0.37028804958770833,imS
0.741811647514332,0.5103293904571513,0.48,0.5,0.5349176523857122,0.6380236572570923,0.5663767049713359,imS
0.7366971884766449,0.5093994888139355,0.48,0.5,0.5351501277965162,0.6436030671163874,0.5766056230467103,imS
0.8360301069464755,0.5274600194448138,0.48,0.5,0.5306349951387966,0.5352398833311176,0.3779397861070489,imS
0.7874382742583148,0.518625140774239,0.48,0.5,0.5328437148064402,0.5882491553545657,0.4751234514833704,imS
0.8175789992935428,0.524105272598826,0.48,0.5,0.5314736818502935,0.5553683644070442,0.4148420014129143,imS
0.8181487259785593,0.524208859268829,0.48,0.5,0.5314477851827928,0.5547468443870263,0.41370254804288137,imS
0.745658632988687,0.5110288423615794,0.48,0.5,0.5347427894096052,0.6338269458305233,0.5586827340226261,imS
0.7336524356241853,0.5088458973862156,0.48,0.5,0.5352885256534462,0.646924615682707,0.5826951287516295,imS
0.7171188226901803,0.5058397859436692,0.48,0.5,0.5360400535140828,0.6649612843379851,0.6157623546196394,imS
0.7783532625733234,0.516973320467877,0.48,0.5,0.5332566698830308,0.5981600771927382,0.4932934748533533,imS
0.7639856813209853,0.5143610329674518,0.48,0.5,0.5339097417581371,0.6138338021952887,0.5220286373580294,imS
0.6393282639083091,0.49169604798332894,0.48,0.5,0.5395759880041678,0.7498237121000264,0.7713434721833818,imS
0.7344030225648868,0.5089823677390704,0.48,0.5,0.5352544080652325,0.6461057935655781,0.5811939548702265,imS
0.678892496290809,0.49888954478014713,0.48,0.5,0.5377776138049633,0.7066627313191174,0.6922150074183818,imS
0.7604351054286427,0.5137154737142987,0.48,0.5,0.5340711315714254,0.6177071577142079,0.5291297891427145,imS
0.6802490650216768,0.49913619364030487,0.48,0.5,0.5377159515899238,0.7051828381581707,0.6895018699566464,imS
0.8244912641494488,0.5253620480271726,0.48,0.5,0.5311594879932069,0.5478277118369649,0.4010174717011022,imS
0.740880169729877,0.5101600308599776,0.48,0.5,0.5349599922850056,0.6390398148401342,0.5682396605402459,imS
0.7129089232650132,0.5050743496845479,0.48,0.5,0.5362314125788631,0.6695539018927129,0.6241821534699736,imS
0.666249174350999,0.4965907589729089,0.48,0.5,0.5383523102567728,0.7204554461625466,0.7175016512980021,imS
0.76765653582877,0.5150284610597764,0.48,0.5,0.5337428847350559,0.6098292336413418,0.51468692834246,imS
0.6443220263697199,0.4926040047944945,0.48,0.5,0.5393489988013764,0.7443759712330328,0.7613559472605601,imS
0.8469759293602928,0.5294501689745987,0.48,0.5,0.5301374577563503,0.5232989861524079,0.3560481412794144,imS
0.7270721724857343,0.5076494859064972,0.48,0.5,0.5355876285233757,0.6541030845610172,0.5958556550285314,imS
0.8031721401673666,0.521485843666794,0.48,0.5,0.5321285390833016,0.5710849379992364,0.44365571966526685,imS
0.8454235799855826,0.5291679236337423,0.48,0.5,0.5302080190915645,0.5249924581975463,0.35915284002883474,imS
0.7194051220154906,0.5062554767300892,0.48,0.5,0.5359361308174777,0.6624671396194648,0.6111897559690188,imS
0.763944974155881,0.5143536316647057,0.48,0.5,0.5339115920838237,0.6138782100117661,0.5221100516882378,imS
0.6862085781584247,0.5002197414833499,0.48,0.5,0.5374450646291625,0.6986815510999004,0.6775828436831506,imS
0.8259583077732332,0.525628783231497,0.48,0.5,0.5310928041921258,0.5462273006110183,0.3980833844535335,imS
0.8097437581062139,0.5226806832920389,0.48,0.5,0.5318298291769903,0.5639159002477666,0.43051248378757206,imS
0.7676057776026354,0.5150192322913882,0.48,0.5,0.533745191927153,0.6098846062516705,0.5147884447947293,imS
0.8236429087065098,0.5252078015830018,0.48,0.5,0.5311980496042495,0.5487531905019892,0.4027141825869803,imS
0.6325979992926279,0.49047236350775053,0.48,0.5,0.5398819091230624,0.7571658189534968,0.7848040014147442,imS
0.6813635708665304,0.4993388310666419,0.48,0.5,0.5376652922333396,0.7039670136001486,0.6872728582669391,imS
0.6833243999728159,0.4996953454496029,0.48,0.5,0.5375761636375993,0.7018279273023826,0.6833512000543681,imS
0.719924639084226,0.5063499343789502,0.48,0.5,0.5359125164052625,0.6619003937262989,0.6101507218315481,imS
0.736429303314783,0.5093507824208696,0.48,0.5,0.5351623043947826,0.6438953054747822,0.5771413933704341,imS
0.799139621486419,0.5207526584520762,0.48,0.5,0.532311835386981,0.5754840492875428,0.4517207570271619,imS
0.7559578975762586,0.5129014359229561,0.48,0.5,0.534274641019261,0.6225913844622633,0.5380842048474825,imS
0.6980630618167635,0.5023751021485025,0.48,0.5,0.5369062244628744,0.6857493871089853,0.653873876366473,imS
0.6808377150591912,0.49924322091985296,0.48,0.5,0.5376891947700368,0.7045406744808823,0.6883245698816175,imS
0.6705271820445913,0.49736857855356204,0.48,0.5,0.5381578553616095,0.7157885286786277,0.7089456359108175,imS
0.7058153725252778,0.5037846131864142,0.48,0.5,0.5365538467033965,0.677292320881515,0.6383692549494443,imS
0.6742056614600892,0.49803739299274347,0.48,0.5,0.5379906517518142,0.711775642043539,0.7015886770798216,imS
0.7716516393773812,0.5157548435231603,0.48,0.5,0.53356128911921,0.6054709388610386,0.5066967212452375,imS
0.6698301285072005,0.4972418415467637,0.48,0.5,0.5381895396133091,0.7165489507194177,0.7103397429855992,imS
0.7918171961471334,0.5194213083903879,0.48,0.5,0.532644672902403,0.5834721496576726,0.46636560770573304,imS
0.8048145652374317,0.5217844664068058,0.48,0.5,0.5320538833982986,0.5692932015591655,0.44037086952513677,imS
0.7984393479871598,0.5206253359976655,0.48,0.5,0.5323436660005837,0.5762479840140076,0.45312130402568046,imS
0.7609973852361025,0.5138177064065641,0.48,0.5,0.534045573398359,0.6170937615606155,0.528005229527795,imS
0.7026744316143108,0.5032135330207838,0.48,0.5,0.5366966167448041,0.6807188018752973,0.6446511367713785,imS
0.7598104564225532,0.513601901167737,0.48,0.5,0.5340995247080658,0.6183885929935784,0.5303790871548937,imS
0.6434473433028606,0.49244497150961103,0.48,0.5,0.5393887571225973,0.7453301709423339,0.7631053133942789,imS
0.6639348900937256,0.496169980017041,0.48,0.5,0.5384575049957397,0.7229801198977539,0.7221302198125489,imS
0.7217641792425987,0.5066843962259271,0.48,0.5,0.5358289009435183,0.6598936226444378,0.6064716415148026,imS
0.7177089493542014,0.5059470817007639,0.48,0.5,0.536013229574809,0.6643175097954167,0.6145821012915973,imS
0.6627994096612403,0.4959635290293164,0.48,0.5,0.538509117742671,0.7242188258241016,0.7244011806775195,imS
0.6981853842376333,0.5023973425886606,0.48,0.5,0.5369006643528349,0.6856159444680363,0.6536292315247333,imS
0.6658889374890403,0.4965252613616437,0.48,0.5,0.5383686846595891,0.7208484318301378,0.7182221250219193,imS
0.7180908924927736,0.506016525907777,0.48,0.5,0.5359958685230558,0.6639008445533379,0.6138182150144528,imS
0.6547072611306635,0.4944922292964843,0.48,0.5,0.5388769426758789,0.7330466242210943,0.7405854777386731,imS
0.6739674685554522,0.49,1.0,0.5,0.5958698742218087,0.5530162657222739,0.3041301257781913,omL
0.6769677939302553,0.49,1.0,0.5,0.6078711757210212,0.5515161030348724,0.2921288242789788,omL
0.6645204809877544,0.5171228859265259,1.0,0.5,0.5942457718530518,0.5690409619755087,0.26959038024491366,omL
0.6627795899403235,0.506677539641941,1.0,0.5,0.573355079283882,0.565559179880647,0.30440820119353007,omL
0.6796963900176223,0.49,1.0,0.5,0.6187855600704891,0.5501518049911889,0.2812144399295109,omL
0.662126787258082,0.48872392764515077,1.0,0.5,0.5391492850967672,0.5612760723548492,0.3574478552903016,omL
0.6736828868455415,0.49,1.0,0.5,0.5947315473821657,0.5531585565772293,0.30526845261783436,omL
0.7071314980508719,0.5242774531279067,1.0,0.5,0.46716041210319803,0.5514306367180234,0.21003614256540765,omL
0.6709400763557906,0.49,1.0,0.5,0.5837603054231623,0.5545299618221048,0.31623969457683776,omL
0.6689933790246072,0.5439602741476429,1.0,0.5,0.6479205482952858,0.5779867580492143,0.18013241950785713,omL
0.6741817422459437,0.5003139943606864,1.0,0.5,0.5180827619835415,0.5574215014098285,0.31487627467199725,omL
0.6632939572277289,0.49,1.0,0.5,0.5531758289109153,0.5583530213861356,0.3468241710890847,omL
0.6673110541276747,0.533866324766048,1.0,0.5,0.627732649532096,0.5746221082553493,0.21377891744650673,omL
0.6613608150087685,0.4891835109947389,1.0,0.5,0.5394556739964926,0.5608164890052612,0.3583670219894778,omL
0.6642813350037202,0.49,1.0,0.5,0.5571253400148808,0.5578593324981399,0.34287465998511923,omL
0.6661007087795413,0.5266042526772475,1.0,0.5,0.613208505354495,0.5722014175590825,0.23798582440917498,omL
0.6688945352369099,0.49,1.0,0.5,0.5755781409476393,0.5555527323815451,0.3244218590523608,omL
0.6637146221196276,0.5122877327177656,1.0,0.5,0.5845754654355312,0.5674292442392552,0.28570755760744804,omL
0.6693018176840069,0.5458109061040414,1.0,0.5,0.6516218122080826,0.5786036353680137,0.17396364631986241,omL
0.7559646238368576,0.5597924536995327,1.0,0.5,0.39169103588849297,0.5425518865751169,0.05465801506454426,omL
0.6677188609581057,0.49,1.0,0.5,0.5708754438324228,0.5561405695209471,0.3291245561675772,omL
0.6619422668936851,0.5016536013621105,1.0,0.5,0.5633072027242211,0.5638845337873702,0.3211546621262983,omL
0.6625037723492981,0.49,1.0,0.5,0.5500150893971926,0.558748113825351,0.34998491060280745,omL
0.7246432375466986,0.5370132636703262,1.0,0.5,0.44009681470055684,0.5482466840824185,0.15431697144232287,omL
